caption,comments1,comments,likes,timestamp,url,collection date,timespan,time,wc,log(wc),post interval,pf,sf,sf_new,saturation,revenue,posts,person,plant,cluster1,cluster2,cluster3,pfr,sfr
"Design that glows.
 Modern stainless steel keeps candles secure and stylish—perfect for mantels, tables, or thoughtful festive gifting.

Shop in stores or online at www.westelm.in Kora Pillar Candle Gift Hamper: https://westelm.in/product/kora-pillar-candle-gift-hamper-17150649",0,0,200,2024-11-04T13:25:55.000Z,https://www.instagram.com/p/DB83jL_SfJw/,16-03-2026,04-11-2024,405,12,2.564949357,0,1,0,0,1,2.220756253,9100,1,1,,1,1,2,0
"Modern materials. Sleek lines. The Quinn Dresser stands tall on lofty metal legs and adds textural warmth with its kiln-dried wood frame—equal parts functional and fabulous. 
Tap to shop now.",80,21,281,2026-02-25T19:01:07.000Z,https://www.instagram.com/p/DVMEMghARe4/,16-03-2026,25-02-2026,7,47,3.871201011,0,1,6,0,95,0,4680,1,1,,1,0,9,0
"Turn heads with the sculptural silhouette of the Strickland Chair. This statement piece adds a touch of modern elegance to any space. 

Shop now on www.westelm.in or in-stores",0,21,840,2026-03-03T18:01:55.000Z,https://www.instagram.com/p/DVbaGXegTgi/,16-03-2026,03-03-2026,4,13,2.63905733,0,0,0,0,122,4.704804615,4680,0,1,,1,0,0,0
"Prepare to refresh your home with our most exquisite deals of the year. 

Stay tuned for a transformative experience.",0,19,2010,2026-03-01T18:00:47.000Z,https://www.instagram.com/p/DVWQaosgXrY/,16-03-2026,01-03-2026,5,22,3.135494216,1,2,0,0,117,3.974343089,4680,0,1,,1,1,0,0
"Crafted by Aaron Probyn, our Kanto stoneware is glazed to perfection—no two pieces are ever the same. A timeless set for hosting with style. 
Shop in stores or online at www.westelm.in",73,73,2500,2024-09-15T12:30:00.000Z,https://www.instagram.com/p/C_8BbI3Nm-i/,16-03-2026,15-09-2024,434,22,3.135494216,1,2,0,0,77,3.046570172,12300,0,0,,1,1,0,0
"“Her story is the story of Indian textiles..”
Weaving a legacy by Radhika Singh

Suraiya Hasan Bose wasn’t just a revivalist, she was a force who breathed life back into India’s textile heritage. From reimagining handlooms in Andhra Pradesh to becoming a key Fabindia supplier, her legacy is woven into the very fabric of our journey.

Her deep connection with the land and its crafts is truly inspirational. “She knew every leaf on that land and would have been aware of the loss of even one flower if someone had plucked it.” That same care and attention translated into how she reimagined weaving, reconstructing fabrics, adjusting thread counts, and helping redefine the handloom landscape in Andhra Pradesh.

She was a force to be reckoned with and celebrated across the globe.

Image 1 Source: Times of India
Image 2 Source: Himru fabric details in Radhika Singh’s book ‘Suraiya Hasan Bose: Weaving A Legacy’ 
Image 3 Source: Satish Kochrekar 

#Fabindia #CelebrateIndia #CelebratingPeople",0,0,2506,2025-09-03T18:50:28.000Z,https://www.instagram.com/p/DOJobb0FQW8/,16-03-2026,03-09-2025,167,8,2.197224577,1,1,4,0,63,4.156741088,4680,0,1,,0,0,6,0
"Texture, color, and festive charm—all in one cozy accent. The Tapestry Tree Pillow Cover is holiday-ready. 
Find it in-store or shop www.westelm.in",82,82,2510,2025-09-08T12:30:00.000Z,https://www.instagram.com/p/DOV2GR4CPSV/,16-03-2026,08-09-2025,163,18,2.944438979,0,0,0,0,15,3.721229555,9100,0,0,,0,0,0,0
"Give your plants a lift with the Ilya Turned sculptural earthenware planters.  

Shop now online on www.westelm.in and in-stores.",97,97,2517,2025-09-23T12:30:00.000Z,https://www.instagram.com/p/DO8eBHzCOMj/,16-03-2026,23-09-2025,145,19,2.995732274,0,0,1,0,19,5.298312111,9100,0,0,,0,1,0,0
"When the party revolves around the table—or the bar—make sure everyone has a seat.

Tap to shop: https://cb2.visitlink.me/LJkGhT

@heatherclevelanddesign
@farbz___

#mycb2",0,0,2536,2026-01-20T18:00:51.000Z,https://www.instagram.com/p/DTvQzbREi7a/,16-03-2026,20-01-2026,29,31,3.465735903,0,3,0,0,157,3.710410141,4680,0,0,,1,1,1,0
"Proof that you should mix eras, materials and moods—all in one room.

#mycb2",100,100,2209,2025-02-18T07:50:00.000Z,https://www.instagram.com/p/DGNNZO8IxWV/,16-03-2026,18-02-2025,299,25,3.258096538,3,1,6,0,19,0,9100,0,1,,1,0,5,0
